Tick,Dist_SameFeature_WithNoise,Dist_DifferentFeature
0,0,0
1,0,0
2,0.018,0.254
3,1.416,19.305
4,16.511,123.891
5,16.335,191.201
6,0.591,0.621
7,13.645,25.69
8,4.947,6.213
9,22.104,26.796
10,44.612,48.677
11,48.16,50.155
12,60.51,63.062
13,65.878,70.234
14,83.797,86.771
15,83.672,96.657
16,93.539,96.51
17,92.178,107.207
18,98.655,102.38
19,97.085,109.17
20,103.313,108.543
21,103.184,112.854
22,107.313,114.704
23,109.055,117.199
24,111.775,120.652
25,113.998,121.527
26,114.618,124.265
27,115.553,126.074
28,115.45,126.885
29,116.239,127.852
30,115.775,127.723
31,116.964,129.175
32,116.355,128.986
33,116.734,130.103
34,116.38,129.704
35,116.008,130.685
36,116.275,130.026
37,115.55,129.997
38,113.852,127.691
39,112.596,126.359
40,109.403,124.98
41,108.023,122.444
42,105.63,119.539
43,103.432,117.961
44,100.182,116.002
45,98.688,114.5
46,96.315,112.157
47,94.158,110.094
48,93.033,108.798
49,92.078,108.268
50,90.484,105.478
51,90.083,104.164
52,88.962,102.22
53,87.749,100.074
54,86.785,98.146
55,85.341,95.951
56,83.984,93.814
57,82.653,91.129
58,80.901,88.7
59,79.014,85.595
60,76.388,82.904
61,74.125,79.823
62,71.931,76.92
63,69.646,74.063
64,67.719,71.746
65,66.795,70.633
66,66.142,69.399
67,65.946,69.39
68,66.295,68.759
69,68.473,70.2
70,71.276,72.068
71,74.032,74.166
72,77.132,77.483
73,79.12,79.674
74,81.154,81.971
75,82.621,82.947
76,84.608,85.483
77,86.185,86.806
78,87.1,88.346
79,88.632,90.045
80,89.048,90.507
81,89.434,91.196
82,89.726,90.251
83,89.92,91.128
84,89.491,89.301
85,88.916,89.499
86,88.435,88.082
87,87.037,87.287
88,85.696,85.688
89,84.276,84.364
90,83.15,82.324
91,81.117,80.712
92,79.75,79.11
93,77.96,76.866
94,76.589,75.486
95,74.443,73.577
96,73.651,72.863
97,72.036,70.941
98,71.101,70.862
99,70.248,69.958
100,70.295,69.121
101,69.709,68.955
102,70.196,69.099
103,70.186,70.231
104,71.038,70.242
105,72.054,71.619
106,71.993,71.34
107,72.421,72.134
108,71.736,72.123
109,72.045,72.15
110,72.055,72.011
111,72.345,72.151
112,71.386,71.678
113,72.565,72.067
114,72.196,71.796
115,72.347,72.365
116,72.373,72.862
117,72.292,72.757
118,72.107,73.105
119,72.374,72.308
120,70.981,72.236
121,71.443,72.337
122,70.542,72.385
123,70.135,71.998
124,69.312,71.484
125,68.851,71.479
126,69.075,70.931
127,68.455,70.7
128,68.386,70.371
129,67.875,70.585
130,67.758,69.196
131,67.282,69.014
132,67.237,68.6
133,66.508,68.091
134,66.419,67.034
135,65.599,66.87
136,65.598,66.378
137,64.742,66.083
138,65.267,66.177
139,64.08,65.697
140,64.573,66.417
141,63.864,65.285
142,63.552,66.022
143,63.251,65.476
144,63.761,65.976
145,63.391,65.88
146,63.235,65.976
147,63.646,65.797
148,63.463,65.547
149,63.979,66.758
150,64.493,67.015
151,65.626,67.444
152,66.38,68.88
153,67.647,69.455
154,67.954,70.166
155,69.118,71.155
156,70.031,72.412
157,71.059,73.387
158,71.163,74.277
159,72.956,75.386
160,73.504,77.448
161,73.246,76.894
162,73.729,77.809
163,75.417,78.567
164,75.241,79.379
165,76.241,79.745
166,76.875,80.688
167,78.232,81.796
168,77.985,82.756
169,77.867,83.105
170,78.19,82.625
171,79.153,83.604
172,78.855,83.16
173,79.764,84.83
174,79.548,83.798
175,78.928,84.111
176,78.593,83.905
177,78.899,83.453
178,78.831,83.665
179,78.254,82.716
180,77.989,82.991
181,77.466,82.423
182,77.187,82.336
183,77.015,81.336
184,76.421,80.933
185,76.67,81.073
186,76.104,80.066
187,76.916,80.688
188,76.328,80.181
189,76.669,80.525
190,75.874,80.778
191,77.235,81.18
192,75.304,80.373
193,76.16,80.691
194,75.513,80.889
195,75.2,80.963
196,74.147,79.917
197,73.945,79.939
198,74.422,80.177
199,73.532,79.892
200,73.972,80.042
201,73.378,78.674
202,72.839,79.519
203,73.23,79.685
204,73.368,79.013
205,73.657,79.77
206,72.676,79.083
207,72.934,78.469
208,72.425,78.572
209,71.68,78.736
210,71.918,78.096
211,71.256,77.456
212,70.86,77.395
213,70.001,76.062
214,70.332,76.926
215,70.522,75.817
216,69.843,76.093
217,70.023,75.164
218,70.185,75.696
219,69.618,75.3
220,69.827,75.579
221,70.328,76.151
222,69.328,75.625
223,70.008,75.917
224,69.634,75.715
225,68.84,75.538
226,68.668,75.558
227,68.784,75.85
228,67.557,74.97
229,68.414,75.946
230,67.936,75.922
231,69.497,75.927
232,68.953,76.464
233,70.262,76.927
234,70.15,76.529
235,71.313,77.028
236,71.002,77.096
237,72.009,76.954
238,70.962,77.238
239,72.216,77.226
240,71.996,77.265
241,72.374,78.014
242,71.675,77.288
243,72.486,78.133
244,72.293,77.876
245,73.044,78.759
246,73.005,78.947
247,73.428,80.302
248,73.362,80.389
249,74.272,80.79
250,74.566,81.098
251,74.879,81.424
252,75.38,82.149
253,75.749,82.492
254,75.303,83.536
255,75.668,83.257
256,75.82,83.679
257,77.092,84.583
258,76.977,84.329
259,76.913,84.374
260,77.536,85.042
261,77.303,84.44
262,77.792,85.04
263,77.669,84.232
264,77.582,84.287
265,77.272,83.499
266,77.533,84.189
267,76.764,82.171
268,76.471,82.32
269,76.422,81.503
270,75.706,82.42
271,75.156,81.26
272,75.615,82.284
273,75.364,82.607
274,74.651,81.816
275,74.509,81.536
276,73.469,81.539
277,73.955,81.571
278,73.841,82.132
279,73.247,81.401
280,73.635,81.496
281,73.099,80.747
282,72.7,81.707
283,73.303,81.15
284,72.188,80.837
285,72.023,80.57
286,72.568,81.079
287,72.172,80.705
288,72.755,80.816
289,72.778,80.345
290,73.713,80.888
291,72.771,80.572
292,72.675,80.08
293,72.441,80.001
294,72.924,79.932
295,72.493,80.464
296,72.46,79.826
297,71.208,80.281
298,71.636,78.931
299,71.015,79.713
300,70.975,79.245
301,70.832,79.479
302,71.051,79.324
303,71.122,79.632
304,70.595,80.266
305,71.339,80.365
306,71.506,80.414
307,71.485,79.956
308,71.916,80.08
309,72.267,81.202
310,72.078,80.537
311,71.869,81.583
312,71.313,80.846
313,71.501,81.312
314,71.488,81.176
315,72.385,81.317
316,72.005,81.559
317,72.557,81.041
318,72.779,80.696
319,73.432,81.223
320,73.046,81.37
321,74.041,81.881
322,74.26,81.66
323,73.976,82.044
324,73.281,82.027
325,74.104,82.259
326,73.853,82.206
327,74.197,82.657
328,74.214,82.668
329,74.093,82.728
330,74.234,82.798
331,73.778,82.129
332,74.282,83.298
333,74.352,82.262
334,73.899,82.801
335,74.825,83.514
336,73.716,82.604
337,73.857,82.015
338,74.31,82.333
339,74.709,82.796
340,74.231,82.346
